subject,block,rt,response,duration,hist,rsi
2,1,1.1411262,1,0.7,R,1.9
2,1,0.8132331,1,0.4,R,2.1
2,1,1.2969016,1,0.6,R,2.3
2,1,1.3372192,1,0.4,R,1.8
2,1,0.8053338,1,0.6,R,1.8
2,1,0.796227,1,0.4,R,2.3
2,1,1.3051637,1,0.4,R,1.1
2,1,0.7857306,0,0.4,R,1.9
2,1,0.6001092,1,0.6,R,1.3
2,1,0.4898604,0,0.3,R,1.9
2,1,0.5682312,0,0.2,R,1.6
2,1,0.6329905,1,0.5,R,1.4
2,1,0.7954224,1,0.7,R,1.8
2,1,0.5393314,0,0.2,R,1.8
2,1,0.6163463,0,0.4,R,1.8
2,1,1.2643297,0,0.4,R,1.8
2,1,1.1485395,1,0.4,R,1.8
2,1,0.7942827,0,0.4,R,0.9
2,1,0.5641988,0,0.2,R,1.3
2,1,0.4666501,0,0.3,R,1.9
2,1,0.5052246,1,0.8,R,1.8
2,1,0.616365,1,0.7,R,1.8
2,1,0.5852911,0,0.2,R,1.3
2,1,0.6733771,0,0.4,R,2.1
2,1,0.4891972,0,0.4,R,2.3
2,1,0.5616907,1,0.6,R,1.4
2,1,0.5249322,0,0.4,R,1.6
2,1,0.4412505,0,0.4,R,0.9
2,1,0.3842885,0,0.2,R,1.1
2,1,1.197221,0,0.4,R,1.6
2,1,0.4931374,0,0.2,R,2.1
2,1,0.8216453,0,0.5,R,1.9
2,1,0.6099184,0,0.3,R,1.6
2,1,0.6091514,1,0.7,R,2.3
2,1,0.6618667,1,0.5,R,1.3
2,1,0.5176273,0,0.2,R,1.1
2,1,0.3573836,0,0.5,R,0.9
2,1,0.4600645,0,0.4,R,0.9
2,1,0.3612064,0,0.6,R,1.1
2,1,0.4401589,0,0.2,R,1.8
2,1,0.4252868,0,0.2,R,1.4
2,1,1.2296294,1,0.6,R,1.3
2,1,1.4495106,0,0.4,R,1.1
2,1,0.4854966,0,0.5,R,0.9
2,1,0.8210057,0,0.8,R,1.8
2,1,1.2611613,0,0.6,R,1.9
2,1,0.8096577,0,0.2,R,1.8
2,1,0.6504575,0,0.3,R,1.4
2,1,0.7260002,1,0.7,R,1.1
2,1,0.6284378,1,0.5,R,1.1
2,1,1.1490727,0,0.3,R,2.1
2,1,1.3963166,1,0.7,R,1.6
2,1,1.0133064,0,0.2,R,1.3
2,1,0.4891901,0,0.2,R,2.1
2,1,0.6410983,1,0.6,R,2.3
2,1,0.7387099,1,0.6,R,0.9
2,1,0.6255774,0,0.4,R,0.9
2,1,0.7971122,1,0.5,R,1.3
2,1,0.5813501,0,0.5,R,1.8
2,1,0.4564516,0,0.4,R,1.8
2,1,0.636463,1,0.8,R,1.3
2,1,0.7311573,1,0.5,R,1.3
2,1,0.4891909,1,0.5,R,2.1
2,1,0.7347041,0,0.4,R,1.9
2,1,1.1975939,1,0.7,R,2.1
2,1,1.061934,1,0.5,R,2.3
2,1,0.5882595,0,0.2,R,0.9
2,1,1.534033,1,0.5,R,2.1
2,1,0.7420089,1,0.5,R,0.9
2,1,1.1641959,0,0.6,R,1.1
2,1,0.4784027,1,0.7,R,1.6
2,1,1.269256,1,0.8,R,1.4
2,1,0.7174342,0,0.2,R,0.9
2,1,0.4730935,0,0.2,R,1.1
2,2,1.5013146,1,0.6,R,0.9
2,2,0.4455382,0,0.2,R,1.6
2,2,1.2982723,0,0.5,R,2.1
2,2,0.7800422,1,0.7,R,1.4
2,2,0.9501996,1,0.7,R,1.4
2,2,0.9894489,1,0.5,R,2.3
2,2,0.5534737,0,0.5,R,1.9
2,2,0.9772009,0,0.5,R,1.3
2,2,0.5886799,0,0.2,R,1.3
2,2,0.6332324,0,0.4,R,1.3
2,2,0.5810134,0,0.5,R,0.9
2,2,0.4181702,0,0.6,R,1.8
2,2,0.6862975,0,0.6,R,0.9
2,2,0.6050652,0,0.4,R,2.1
2,2,0.9531407,1,0.7,R,1.1
